iso3c,country,doctor_data_country,doctor_data_region
ABW,Aruba,TRUE,TRUE
AFG,Afghanistan,TRUE,TRUE
AGO,Angola,TRUE,TRUE
ALB,Albania,TRUE,TRUE
AND,Andorra,TRUE,TRUE
ARE,United Arab Emirates,TRUE,TRUE
ARG,Argentina,TRUE,TRUE
ARM,Armenia,TRUE,TRUE
ASM,American Samoa,TRUE,TRUE
ATG,Antigua and Barbuda,TRUE,TRUE
AUS,Australia,TRUE,TRUE
AUT,Austria,TRUE,TRUE
AZE,Azerbaijan,TRUE,TRUE
BDI,Burundi,TRUE,TRUE
BEL,Belgium,TRUE,TRUE
BEN,Benin,TRUE,TRUE
BFA,Burkina Faso,TRUE,TRUE
BGD,Bangladesh,TRUE,TRUE
BGR,Bulgaria,TRUE,TRUE
BHR,Bahrain,TRUE,TRUE
BHS,"Bahamas, The",TRUE,TRUE
BIH,Bosnia and Herzegovina,TRUE,TRUE
BLR,Belarus,TRUE,TRUE
BLZ,Belize,TRUE,TRUE
BMU,Bermuda,TRUE,TRUE
BOL,Bolivia,TRUE,TRUE
BRA,Brazil,TRUE,TRUE
BRB,Barbados,TRUE,TRUE
BRN,Brunei Darussalam,TRUE,TRUE
BTN,Bhutan,TRUE,TRUE
BWA,Botswana,TRUE,TRUE
CAF,Central African Republic,TRUE,TRUE
CAN,Canada,TRUE,TRUE
CHE,Switzerland,TRUE,TRUE
CHI,Channel Islands,TRUE,TRUE
CHL,Chile,TRUE,TRUE
CHN,China,TRUE,TRUE
CIV,Cote d'Ivoire,TRUE,TRUE
CMR,Cameroon,TRUE,TRUE
COD,"Congo, Dem. Rep.",TRUE,TRUE
COG,"Congo, Rep.",TRUE,TRUE
COL,Colombia,TRUE,TRUE
COM,Comoros,TRUE,TRUE
CPV,Cabo Verde,TRUE,TRUE
CRI,Costa Rica,TRUE,TRUE
CUB,Cuba,TRUE,TRUE
CUW,Curacao,TRUE,TRUE
CYM,Cayman Islands,TRUE,TRUE
CYP,Cyprus,TRUE,TRUE
CZE,Czech Republic,TRUE,TRUE
DEU,Germany,TRUE,TRUE
DJI,Djibouti,TRUE,TRUE
DMA,Dominica,TRUE,TRUE
DNK,Denmark,TRUE,TRUE
DOM,Dominican Republic,TRUE,TRUE
DZA,Algeria,TRUE,TRUE
ECU,Ecuador,TRUE,TRUE
EGY,"Egypt, Arab Rep.",TRUE,TRUE
ERI,Eritrea,TRUE,TRUE
ESP,Spain,TRUE,TRUE
EST,Estonia,TRUE,TRUE
ETH,Ethiopia,TRUE,TRUE
FIN,Finland,TRUE,TRUE
FJI,Fiji,TRUE,TRUE
FRA,France,TRUE,TRUE
FRO,Faroe Islands,FALSE,TRUE
FSM,"Micronesia, Fed. Sts.",TRUE,TRUE
GAB,Gabon,TRUE,TRUE
GBR,United Kingdom,TRUE,TRUE
GEO,Georgia,TRUE,TRUE
GHA,Ghana,TRUE,TRUE
GIB,Gibraltar,FALSE,TRUE
GIN,Guinea,TRUE,TRUE
GMB,"Gambia, The",TRUE,TRUE
GNB,Guinea-Bissau,TRUE,TRUE
GNQ,Equatorial Guinea,TRUE,TRUE
GRC,Greece,TRUE,TRUE
GRD,Grenada,TRUE,TRUE
GRL,Greenland,TRUE,TRUE
GTM,Guatemala,TRUE,TRUE
GUM,Guam,TRUE,TRUE
GUY,Guyana,TRUE,TRUE
HKG,"Hong Kong SAR, China",TRUE,TRUE
HND,Honduras,TRUE,TRUE
HRV,Croatia,TRUE,TRUE
HTI,Haiti,TRUE,TRUE
